trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.10447736988016,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-136.48501076353463,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801}",20,0,-116.63965729107477,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.970299}",35,19,-37.53838957341532,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.96059601}",35,0,-218.8490409813486,"{0: 16, 1: 5, 2: 11, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-42.26529037269792,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-19.724667228703357,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,5,-22.43689284669665,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-172.53053045008778,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-112.66609854595033,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,5,-47.49219717018291,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,1,-218.5542043209936,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 4}",1
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-89.52679302190886,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-261.5454026696913,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-49.0432962617287,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-85.68470435200261,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,16,-6.639444776593276,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-140.6999150226588,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,1,-41.59555189373744,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-119.31671050358268,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-54.44111741862496,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-89.93925248637179,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-7.337653180990778,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-70.30679098523369,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-128.48035851307966,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,4,11.174983342350455,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-30.653620775183114,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,13.350580501378278,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,10,4.44750538288846,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-117.2732699205297,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-23.34372751996504,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,0,-65.64930830219089,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-59.764724004612845,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-137.34620586517758,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,11,-44.89736589426953,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,11,-67.55099241531026,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,0,-66.11994157551415,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,0,-62.31702184963619,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.682554595010387}",20,9,-25.798026309643838,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,2,-96.9510210257103,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.6689717585696803}",30,0,-135.41123960283403,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6622820409839835}",30,9,-25.158851115153546,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,10,-12.186387381377717,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,14,-33.29469141379292,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6426116020847181}",30,3,-26.56899360255551,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-76.50914833357504,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,13,-15.566737698602036,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-40.58167525369248,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.617290140942288}",20,12,-44.50851885099663,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 0}",1
